,ID,YEAR,MONTH,REGION,DISTRICT,FACILITY,BCG,PENTA_1,PENTA_2,PENTA_3,MEASLES_1,OPV_4,DPT,TT_1,V_BLUECAP,V_REDCAP,PERIONDNAME
0,1,2018,January,North Bank West,Upper Niumi ,Albreda Min. Health Centre,28,27,24,24,26,49,24,4,27,136,January 2018
1,2,2018,January,Upper River ,Wuli East ,Badja Kunda Min. Health Centre,145,167,122,97,147,147,87,36,175,322,January 2018
2,3,2018,January,Western 1,Kanifing Municipal ,Bafrow Sere Kunda Clinic,74,100,65,71,62,87,39,22,47,110,January 2018
3,4,2018,January,Western 1,Kanifing Municipal ,Bakau Minor Health Centre,62,82,50,45,56,56,40,13,31,122,January 2018
4,5,2018,January,Western 1,Kombo North ,Banjulnding Min. Health Centre,145,150,139,104,162,236,92,41,90,293,January 2018
5,6,2018,January,Central River,Upper Fulladou West ,Bansang RCH Clinic,133,163,152,129,138,201,62,20,98,335,January 2018
6,7,2018,January,Upper River ,Basse ,Basse Maj. Health Centre,212,250,240,210,204,310,92,56,135,413,January 2018
7,8,2018,January,Western 2,Kombo Central ,Brikama Maj. Health centre,603,385,304,280,417,606,185,114,224,703,January 2018
8,9,2018,January,Central River,Lower Fulladou West ,Brikamaba Min. Health Center,138,160,156,112,119,197,88,24,78,208,January 2018
9,10,2018,January,Western 1,Kombo North ,Brufut Min. Health Centre,96,96,77,71,90,125,35,30,57,143,January 2018
10,11,2018,February,Western 1,Kombo North ,Sukuta Min. Health Centre,255,257,248,179,177,,87,,149,399,February 2018
11,12,2018,February,North Bank West,Upper Niumi ,WEC Nema Kunku NGO Clinic,23,16,15,14,30,35,5,,18,99,February 2018
12,13,2018,February,Upper River ,Wuli West ,Yorobawol Min. Health Centre,82,89,107,62,60,95,34,,58,127,February 2018
13,14,2018,February,Western 1,Kombo North ,Yundum Village OPD,60,85,65,48,66,106,40,,33,59,February 2018
14,15,2018,March,North Bank West,Upper Niumi ,Albreda Min. Health Centre,38,36,32,23,27,42,24,,20,118,March 2018
15,16,2018,March,Western 1,Kanifing Municipal ,ASB Private Clinic,85,107,99,81,86,159,73,26,99,102,March 2018
16,17,2018,March,Upper River ,Wuli East ,Badja Kunda Min. Health Centre,61,74,105,127,78,162,69,,98,209,March 2018
17,18,2018,March,Western 1,Kanifing Municipal ,Bafrow Sere Kunda Clinic,93,88,111,93,94,130,76,3,68,118,March 2018
18,19,2018,March,Western 1,Kanifing Municipal ,Bakau Minor Health Centre,64,65,86,82,45,86,67,11,55,163,March 2018
19,20,2018,March,Western 1,Kombo North ,Banjulnding Min. Health Centre,190,177,161,145,128,191,90,9,119,318,March 2018
20,21,2018,March,Central River,Upper Fulladou West ,Bansang RCH Clinic,163,156,195,185,109,199,79,,143,388,March 2018
21,22,2018,March,Upper River ,Basse ,Basse Maj. Health Centre,277,277,260,320,220,220,145,,144,454,March 2018
22,23,2018,March,Western 2,Kombo Central ,Brikama Maj. Health centre,652,485,366,352,330,602,286,7,281,984,March 2018
23,24,2018,March,Central River,Lower Fulladou West ,Brikamaba Min. Health Center,130,136,174,130,122,211,102,,151,224,March 2018
24,25,2018,March,Western 1,Kombo North ,Brufut Min. Health Centre,91,111,88,73,82,138,47,,68,190,March 2018
25,26,2018,March,Western 1,Kanifing Municipal ,Bundung Maternal Child Health Hospital,640,407,447,385,268,513,321,70,290,663,March 2018
26,27,2018,March,Lower River ,Jarra East ,Bureng Min. Health Centre,79,56,85,66,78,78,48,,38,117,March 2018
27,28,2018,March,Western 2,Foni Kansala ,Bwiam General Hospital,53,72,75,71,75,105,32,,48,188,March 2018
28,29,2018,March,Central River,Nianija,Chamen Min. Health Centre,35,39,36,42,34,61,27,,12,199,March 2018
29,30,2018,March,Central River,Niamina Dankunku,Dankunku Min. Health Centre,48,53,43,43,42,60,43,,48,178,March 2018
30,31,2018,March,Upper River ,Jimara ,Demba Kunda Koto Village OPD,,,,,,,,,76,327,March 2018
